Name,Details,,,State,Price,Subject,URL,,,,,"if u'd like to support us, please check out capplica.com"
SDSU,Robotics Camp,,,CA,Free,Engineering,https://ite.sdsu.edu/oce/our-programs/robotics-camp,,,,,
UCF,Summer Institute,,,FL,Free,Mixed,https://siucf.cs.ucf.edu/applications/,,,,,
UHouston,WoodWorks,,,TX,Free,Mixed,https://www.wonderworkshouston.org/,,,,,
UHouston,Business Summer Institutes,,,TX,Free,Business,https://www.bauer.uh.edu/undergraduate/summercamp/,,,,,
Scripps,Student Research Internships,,,CA,Free,Medicine,https://www.scripps.edu/science-and-medicine/translational-institute/education-and-training/student-research-internship/?tab-2-drawers=1&tab-1-drawers=1,,,,,
Scripps,Medical Student Research Internship Program,,,CA,Free,Medicine,https://www.scripps.edu/science-and-medicine/translational-institute/education-and-training/student-research-internship/?tab-2-drawers=1&tab-1-drawers=1,,,,,
UCB,Experience in Research,,,CA,Free,STEM,https://k12education.lbl.gov/programs/high-school/experiences-in-research,,,,,
USC,Bridge Undergraduate Science Jr. Program,,,CA,Free,STEM,https://dornsife.usc.edu/bridge-institute/bugs-jr-program/,,,,,
UChicago,SCUBA Summer Coding,,,IL,Free,Computer Science,https://www.codeyourdreams.org/scuba,,,,,
GiS,Ewgis Program,,,All States,Free,STEM,https://girlsinstem.org/gis-mentorship-program,,,,,
CLA,High School Internship,,,All States,Free,Business,https://www.claconnect.com/en/careers/high-school-internship#learn-more,,,,,
Rutgers,RITMS Research Program,,,NJ,Free,Mixed,https://ritms.rutgers.edu/education-training/graduate-and-undergraduate-education-and-training/ritms-summer-research-program/,,,,,
